id,name
890,Utsjoki
854,Pello
976,Ylitornio
845,Tervola
620,Puolanka
105,Hyrynsalmi
290,Kuhmo
630,Pyhäntä
977,Ylivieska
317,Kärsämäki
535,Nivala
263,Kiuruvesi
069,Haapajärvi
626,Pyhäjärvi
541,Nurmes
911,Valtimo
422,Lieksa
691,Reisjärvi
687,Rautavaara
140,Iisalmi
601,Pihtipudas
402,Lapinlahti
595,Pielavesi
256,Kinnula
176,Juuka
239,Keitele
534,Nilsiä
403,Lappajärvi
476,Maaninka
931,Viitasaari
265,Kivijärvi
233,Kauhava
749,Siilinjärvi
399,Laihia
844,Tervo
607,Polvijärvi
216,Kannonkoski
226,Karstula
759,Soini
300,Kuortane
309,Outokumpu
301,Kurikka
863,Töysä
989,Ähtäri
846,Teuva
495,Multia
232,Kauhajoki
218,Karijoki
936,Virrat
231,Kaskinen
592,Petäjävesi
250,Kihniö
230,Karvia
581,Parkano
046,Enonkoski
179,Jyväskylä
500,Muurame
099,Honkajoki
508,Mänttä-Vilppula
214,Kankaanpää
181,Jämijärvi
768,Sulkava
588,Pertunmaa
604,Pirkkala
111,Heinola
775,Suomenniemi
831,Taipalsaari
016,Asikkala
739,Savitaipale
153,Imatra
050,Eura
783,Säkylä
416,Lemi
098,Hollola
142,Iitti
405,Lappeenranta
283,Hämeenkoski
532,Nastola
441,Luumäki
109,Hämeenlinna
165,Janakkala
061,Forssa
398,Lahti
834,Tammela
561,Oripää
316,Kärkölä
560,Orimattila
086,Hausjärvi
286,Kouvola
505,Mäntsälä
433,Loppi
489,Miehikkälä
694,Riihimäki
407,Lapinjärvi
504,Myrskylä
616,Pukkila
106,Hyvinkää
540,Nummi-Pusula
224,Karkkila
935,Virolahti
018,Askola
577,Paimio
624,Pyhtää
543,Nurmijärvi
858,Tuusula
202,Kaarina
611,Pornainen
734,Salo
638,Porvoo
186,Järvenpää
753,Sipoo
434,Loviisa
738,Sauvo
245,Kerava
445,Parainen
444,Lohja
223,Karjalohja
322,Kemiönsaari
755,Siuntio
710,Raasepori
149,Inkoo
078,Hanko
065,Geta
076,Hammarland
060,Finström
318,Kökar
584,Perho
934,Vimpeli
005,Alajärvi
312,Kyyjärvi
249,Keuruu
623,Puumala
507,Mäntyharju
696,Ristiina
319,Köyliö
680,Raisio
529,Naantali
563,Oulainen
071,Haapavesi
075,Hamina
285,Kotka
927,Vihti
092,Vantaa
049,Espoo
